SKILL_20150317_000001	Атака	
SKILL_20150317_000045	[Sakmoli] Магическая, Пробивание, Свойство льда, Нормальная Атака 1 раз
SKILL_20150317_000046	[Jukopus] Физическая, Пробивание, Свойство земли, Бросок
SKILL_20150317_000047	[Jukopus] Физическая, Пробивание, Свойство земли, Бросок в прыжке
SKILL_20150317_000048	[Red Bushspider] Пробивающий прыжок
SKILL_20150317_000049	[Red Bushspider] Обычная атака, Конусная AoE
SKILL_20150317_000050	[Baby Dionia] Обычная атака, Конусная AoE
SKILL_20150317_000051	[Mini Griba] Физическая, Пробивание, Отравляющее свойство, Один удар
SKILL_20150317_000052	[Mini Griba] Физическая, Пробивание, Отравляющее свойство, Один-два удара
SKILL_20150317_000053	[Mini Griba] Физическая, Пробивание, Отравляющее свойство, Двойное пробивание
SKILL_20150317_000054	[Griba] Физическая, Пробивание, Атака льдом 1 раз
SKILL_20150317_000055	[Griba] Магическая, Магическая, Атака льдом 1 раз
SKILL_20150317_000056	[Old Kepa] Обычная атака, Конусная AoE
SKILL_20150317_000057	[Tree Ghost] Одноручное пробивание
SKILL_20150317_000058	[Tree Ghost] Хлопать двумя руками
SKILL_20150317_000059	[Tree Ghost] Дрожь земли
SKILL_20150317_000060	[Cockatrice] Магическая, Магическая, Свойство огня, Fume Fire 3 times
SKILL_20150317_000061	[Zinute] Physical Pierce Fire Property Атака 1 time
SKILL_20150317_000062	[Zinute] Physical Slash Fire Property Атака 1 time
SKILL_20150317_000063	[Tontulia] Physical Strike Lightning Property Атака 1 time
SKILL_20150317_000064	[Tontulia] Physical Hit Lightning Property Атака 2 times
SKILL_20150317_000065	[Tontus] Physical Удар, Poison Property Атака 2 times
SKILL_20150317_000066	[Tontus] Physical Колющая, Poison Property Атака 1 time
SKILL_20150317_000067	[Tontus] Physical Удар, Poison Property Атака 1 time
SKILL_20150317_000068	[Vekarabe] Физическая, Колющая, Отравляющее свойство, Forward Pierce Атака
SKILL_20150317_000069	[Vekarabe] Физическая, Колющая, Отравляющее свойство, Forward Upper Pierce Атака
SKILL_20150317_000070	[Geppetto] Physical Пробивание, Earth Property Атака 2 times
SKILL_20150317_000071	[Geppetto] Physical Пробивание, Earth Property Атака 1 time
SKILL_20150317_000072	[Geppetto] Physical Удар, Earth Property Атака 1 time
SKILL_20150317_000073	[Boowook] Физическая, Пробивание, Earth Property Атака 1 time
SKILL_20150317_000074	[Boowook] Физическая, Пробивание, Earth Property Feet Stomp Атака 1 time,
SKILL_20150317_000075	[Desmodus] Физическая, Колющая, Dark Property Tail Blow
SKILL_20150317_000076	[Desmodus] Физическая, Колющая, Dark Property Body Blow
SKILL_20150317_000077	[Pino] Physical Blow, Earth Property Атака 1 time
SKILL_20150317_000078	[Cauliflower] Физическая, Колющая, Отравляющее свойство, Smash with tentacle
SKILL_20150317_000079	[Cauliflower] Физическая, Колющая, Отравляющее свойство, Smash with tentacle
SKILL_20150317_000080	[Cauliflower] Физическая, Колющая, Отравляющее свойство, Ground Smash
SKILL_20150317_000081	[Helmet Bug] Физическая, Колющая, Свойство земли, Атака 1 time
SKILL_20150317_000082	[Helmet Bug] Normal Attack2
SKILL_20150317_000083	[Bikaaras Mage] Магическая, Магическая, Свойство огня, Атака 1 time
SKILL_20150317_000084	[Bikaaras Mage] Физическая, Режущий, Свойство огня, Атака 1 time
SKILL_20150317_000085	[Vikaras] Физическая, Режущий, Свойство огня, Атака 1 time
SKILL_20150317_000086	[Vikaras] Физическая, Режущий, Свойство огня, Ground Smash
SKILL_20150317_000087	[Mutant Chinency] Обычная атака, Forward Missile
SKILL_20150317_000088	[Zinute] One-handed Blow
SKILL_20150317_000089	[Zinute] Two-handed clap
SKILL_20150317_000090	[Zinute] Ground Smash
SKILL_20150317_000091	[Lauzinute] Физическая, Колющая, Fire Property Атака 1 time
SKILL_20150317_000092	[Lauzinute] Физическая, Колющая, Fire Property Rotating Атака
SKILL_20150317_000093	[Dandel] Physical Pierce Lightning Property Атака 1 time
SKILL_20150317_000094	[Rusrat] Физическая, Режущий, Lightning Property Атака 2 times
SKILL_20150317_000095	[Rusrat] Физическая, Режущий, Lightning Property Атака 1 time
SKILL_20150317_000096	[Medakia] Физическая, Режущий, Dark Property Атака 1 time
SKILL_20150317_000097	[Medakia] Магическая, Магическая, Dark Property Атака 1 time
SKILL_20150317_000098	[Medakia] Ground Smash
SKILL_20150317_000099	[Wheelen] Two-handed clap
SKILL_20150317_000100	[Mauros] Физическая, Пробивание, Dark Property Атака 1 time
SKILL_20150317_000101	[Mauros] Физическая, Пробивание, Dark Property Smash Атака 1 time
SKILL_20150317_000102	[Sauga] Physical Strike Earth Property Атака 1 time
SKILL_20150317_000103	[Sauga] Физическая, Пробивание, Earth Property Ground Smash
SKILL_20150317_000104	Pumpkin Normal attack.
SKILL_20150317_000105	Атака 2
SKILL_20150317_000106	Pumpkin Normal attack 2.
SKILL_20150317_000107	[Saurman Priest] Normal attack.
SKILL_20150317_000108	Умения
SKILL_20150317_000109	[Saurman Priest] skills.
SKILL_20150317_000110	Saurman Normal attack.
SKILL_20150317_000111	Saurman Normal attack 2.
SKILL_20150317_000112	Boy Ghost Normal attack.
SKILL_20150317_000113	Boy Ghost skills.
SKILL_20150317_000114	Uncle Ghost Normal attack.
SKILL_20150317_000115	Uncle Ghost skills.
SKILL_20150317_000116	Goble Elite Normal attack.
SKILL_20150317_000117	Goble Elite Normal attack 2.
SKILL_20150317_000118	Screw Zombie Normal attack.
SKILL_20150317_000119	Screw Zombie Normal attack 2.
SKILL_20150317_000120	Berserker Zombie Normal attack.
SKILL_20150317_000121	Candle Zombie Normal attack.
SKILL_20150317_000122	Zombie Archer Normal attack.
SKILL_20150317_000123	[High Vubbe] Физическая, Режущий, Water Property, Normal attack
SKILL_20150317_000124	[High Vubbe Archer] Range, Колющая, Water Property, Normal attack
SKILL_20150317_000125	Girl Ghost Normal attack.
SKILL_20150317_000126	Girl Ghost skills.
SKILL_20150317_000127	Madam Ghost Normal attack.
SKILL_20150317_000128	Madam Ghost skills.
SKILL_20150317_000129	Mirtis Eyeball Normal attack.
SKILL_20150317_000130	Mirtis Eyeball Normal attack 2.
SKILL_20150317_000131	Specter Elite Normal attack.
SKILL_20150317_000132	Specter Elite Normal attack 2.
SKILL_20150317_000133	[Chinency] Физическая, Пробивание, Свойство земли, one stroke ahead-back blow
SKILL_20150317_000134	[Popolion] Физическая, Пробивание, Свойство земли, Headbutt
SKILL_20150317_000135	[Popolion] Физическая, Пробивание, Свойство земли, wave attack
SKILL_20150317_000136	[Range Chinency] Обычная атака, forward missile
SKILL_20150317_000137	[Range Chinency] skill 1, forward missile, induce Knockback
SKILL_20150317_000138	[Chupacabra] Физическая, Пробивание, Свойство земли, Headbutt
SKILL_20150317_000139	[Chupacabra] Физическая, Пробивание, Свойство земли, Jump and Stomp
SKILL_20150317_000140	[Chupacabra] Chupa Normal attack 3
SKILL_20150317_000141	[Chupacabra] Chupa Normal attack 4
SKILL_20150317_000142	Spector Normal attack.
SKILL_20150317_000143	Woodspirit Normal attack.
SKILL_20150317_000144	Woodspirit Normal attack 2.
SKILL_20150317_000145	Guard Normal attack.
SKILL_20150317_000146	Guard Normal attack 2.
SKILL_20150317_000147	Large explosion
SKILL_20150317_000148	Large explosion (Defence)
SKILL_20150317_000149	One-way turret Normal attack.
SKILL_20150317_000150	[Ridimed] Физическая, Blow, Отравляющее свойство, Атака 1 time
SKILL_20150317_000151	Goblin Fighter attack.
SKILL_20150317_000152	Thorn Bush Normal attack.
SKILL_20150317_000153	[Combat Soldiers] Combatants attack
SKILL_20150317_000154	[Combat Soldiers] Combatants attack 2
SKILL_20150317_000155	Zombie Archer skill.
SKILL_20150317_000156	Wheelchair Zombie Normal attack.
SKILL_20150317_000157	Wheelchair Zombie skills.
SKILL_20150317_000158	Wall of Flame
SKILL_20150317_000159	Создает Wall of Flame that damages enemies upon contact.
SKILL_20150317_000160	Mine explosion
SKILL_20150317_000161	Detonate explosive mines.
SKILL_20150317_000162	Toxic explosion
SKILL_20150317_000163	Detonate toxic mines.
SKILL_20150317_000164	Claymore explosion
SKILL_20150317_000165	Claymore explosion.
SKILL_20150317_000166	Jump Атака
SKILL_20150317_000167	Life Stream
SKILL_20150317_000168	Life Stream Hill
SKILL_20150317_000169	Glacier Wedge
SKILL_20150317_000170	After the 2 Glacier Wedge
SKILL_20150317_000171	Seed explosion
SKILL_20150317_000172	Seed explosion.
SKILL_20150317_000173	Flame explosion
SKILL_20150317_000174	Flame explosion.
SKILL_20150317_000175	Snowstorm
SKILL_20150317_000176	Meteor Bang
SKILL_20150317_000177	Normal attack
SKILL_20150317_000178	Smack Down
SKILL_20150317_000179	Smack down and damage enemies while pushing them away.
SKILL_20150317_000180	Missile attack
SKILL_20150317_000181	AOS turret attack
SKILL_20150317_000182	[Woodman] attack
SKILL_20150317_000183	Salamander attack
SKILL_20150317_000184	[Vubbe Miner] Физическая, Режущий, Свойство земли, Swing Pickaxe
SKILL_20150317_000185	Hall statue attack
SKILL_20150317_000186	Hall statue skill
SKILL_20150317_000187	Priest attack 1
SKILL_20150317_000188	Priest skill 1
SKILL_20150317_000189	[Green Apparition] Магическая, Магическая, Свойство света, Атака 1 time
SKILL_20150317_000190	Атака Statue 1
SKILL_20150317_000191	[Vubbe Theif] Физическая, Режущий, Свойство земли, Spear Twirl
SKILL_20150317_000192	[Vubbe Theif] Физическая, Колющая, Earth Property Aries skills
SKILL_20150317_000193	[Saurman Spearman] Normal attack.
SKILL_20150317_000194	[Saurman Spearman] Normal attack 2.
SKILL_20150317_000195	[Vubbe Archer] Range, Колющая, Свойство земли, Frontal Arrow Shot
SKILL_20150317_000196	[Pokubu] Физическая, blow, Свойство земли, Hook Атака
SKILL_20150317_000197	[Bagworm] Магическая, Магическая, Отравляющее свойство, Frontal Poison Spread Атака
SKILL_20150317_000198	[Bagworm] Long Distance, Магическая, Отравляющее свойство, Remote Poison Force Атака
SKILL_20150317_000199	[Saurman Axeman] Normal attack.
SKILL_20150317_000200	[Saurman Axeman] Normal attack 2.
SKILL_20150317_000201	Heal{nl}[Исцеление]
SKILL_20150317_000202	Monster Heal
SKILL_20150317_000203	Vubbe Miner Атака
SKILL_20150317_000204	[Feral Pokubu] Normal attack.
SKILL_20150317_000205	Guard Normal attack.
SKILL_20150317_000206	Guard Normal attack 2.
SKILL_20150317_000207	Guard Normal attack 3.
SKILL_20150317_000208	[Candle Spider] Физическая, Blow, Свойство тьмы, One-Legged Атака
SKILL_20150317_000209	[Candle Spider] Физическая, Blow, Свойство тьмы, Body Slam
SKILL_20150317_000210	[Candle Spider] Физическая, Blow, Свойство тьмы, Jump and Two-Legged Stomp
SKILL_20150317_000211	[Winged Frog] Физическая, Blow, Отравляющее свойство, Атака 1 time
SKILL_20150317_000212	[Winged Frog] Физическая, Blow, Отравляющее свойство, Poison Атака 1 time
SKILL_20150317_000213	[Winged Frog] Физическая, Blow, Свойство тьмы, Headbutt Knockback Атака
SKILL_20150317_000214	[Black Leaf Bug] Физическая, Blow, Свойство тьмы, Body Slam
SKILL_20150317_000215	[Black Leaf Bug] Физическая, Blow, Свойство тьмы, Bite attack
SKILL_20150317_000216	[Black Leaf Bug] Физическая, Blow, Свойство тьмы, Jump attack
SKILL_20150317_000217	[Cemetery Golem] Физическая, Blow, Earth Property attack 1 time
SKILL_20150317_000218	[Drake] Физическая, and sword, Свойство огня, attack 1 time
SKILL_20150317_000219	[Drake] Магическая, Магическая, Свойство огня, fume flame attack
SKILL_20150317_000220	[Big Cockatrice] Физическая, stinging, Свойство огня, attack 2 times
SKILL_20150317_000221	[Big Cockatrice] Magic refers, Свойство огня, fly and head butt
SKILL_20150317_000222	[Big Cockatrice]
SKILL_20150317_000223	[Panto Shaman] Physical Normal Strike
SKILL_20150317_000224	[Panto Shaman] Magic Lightning Property Strike
SKILL_20150317_000225	[Panto Shaman] Magic Lightning Property Magic
SKILL_20150317_000226	[Panto Wizard] Physical Normal Strike
SKILL_20150317_000227	[Panto Wizard] Magic Lightning Property Strike
SKILL_20150317_000228	[Panto Wizard] Magic Lightning Property Magic
SKILL_20150317_000229	[Moya] Физическая, Пробивание, Lightning Property Атака
SKILL_20150317_000230	[Moyabu] Физическая, Пробивание, Lightning Property Атака
SKILL_20150317_000231	[Bavon] Физическая, Пробивание, Earth Property Атака
SKILL_20150317_000232	[Tanu] Physical Poison Property Slash
SKILL_20150317_000233	[Zignuts] Physical Poison Property Strike
SKILL_20150317_000234	[Zignuts] Physical Normal Slash
SKILL_20150317_000235	[Moglan] Физическая, Колющая, Lightning Property Атака
SKILL_20150317_000236	[Moglan] Физическая, Колющая, Lightning Property Rotation Атака 2 times
SKILL_20150317_000237	[Denden] Физическая, Удар, Dark Property Атака
SKILL_20150317_000238	[Denden] Range, Магическая, Dark Property Shoot 1 time
SKILL_20150317_000239	[Doyor] Физическая, Пробивание, Poison Property Атака
SKILL_20150317_000240	[Doyor] Magic Reflect Shield Magic
SKILL_20150317_000241	[Tipio] Physical Normal Strike
SKILL_20150317_000242	[Tipio] Magic Poison Property Magic
SKILL_20150317_000243	[Rondo] Физическая, Колющая, Earth Property Атака
SKILL_20150317_000244	Физическая, Пробивание, Свойство земли, Атака
SKILL_20150317_000245	[Terra Imp] Физическая, Пробивание, Dark Property Атака
SKILL_20150317_000246	[Venucelos] Физическая, Пробивание, Свойство земли, Атака
SKILL_20150317_000247	[Venucelos] Физическая, Пробивание, Свойство земли, Атака 3 times
SKILL_20150317_000248	[Grave Golem] Физическая, Пробивание, Non-Property, Атака
SKILL_20150317_000249	[Grave Golem] Физическая, Пробивание, Non-Property, Smash Атака
SKILL_20150317_000250	[Grave Golem] Физическая, Пробивание, Non-Property, Атака nearby monster
SKILL_20150317_000251	[Wheelen] Физическая, Колющая, Lightning Property Pierce Атака
SKILL_20150317_000252	[Wheelen] Физическая, Колющая, Lightning Property Rotation Атака 2 times
SKILL_20150317_000253	[Wheelen] Физическая, Колющая, Lightning Property Strong Pierce Атака
SKILL_20150317_000254	[Rockter] Физическая, Пробивание, Non-Property, Body Slam
SKILL_20150317_000255	[Caro] Физическая, Режущий, Отравляющее свойство, Атака 2 times
SKILL_20150317_000256	[Vubbe Fighter] 1 time , Физическая, Пробивание, Earth Property
SKILL_20150317_000257	[Red_Kepa] 1 time Физическая,Удар, Fire Property
SKILL_20150317_000258	[Tiny] Физическая, Режущий, Свойство света, Атака 2 times
SKILL_20150317_000259	[Treeambulo] Физическая, Пробивание, Свойство земли, Атака
SKILL_20150317_000260	[Spion] Физическая, Пробивание, Отравляющее свойство, Атака 2 times
SKILL_20150317_000261	[Bat] Физическая, Пробивание, Свойство тьмы, Strike with wings
SKILL_20150317_000262	[Shredded] Магическая, Магическая, Свойство тьмы, Dark Property
SKILL_20150317_000263	[Yekubite] Физическая, Пробивание, Свойство льда, Head stomp
SKILL_20150317_000264	[Shardstatue] Физическая, Колющая, Свойство света, Wing strike
SKILL_20150317_000265	[Cire] Физическая, Пробивание, Свойство света, Атака
SKILL_20150317_000266	[Treegool] Физическая, Удар, Свойство тьмы, Атака
SKILL_20150317_000267	[Ammon] Физическая, Режущий, Earth Property Атака
SKILL_20150317_000268	[Operor] Физическая, Колющая, Отравляющее свойство, Bee Sting Атака
SKILL_20150317_000269	[Chafperor] Физическая, Колющая, Отравляющее свойство, Pierce
SKILL_20150317_000270	[Ravinelerva] Range, Магическая, Отравляющее свойство, Атака
SKILL_20150317_000271	[Vesper] Физическая, Пробивание, Свойство тьмы, Tail whip
SKILL_20150317_000272	[Karas] Физическая, Режущий, Свойство тьмы, Атака
SKILL_20150317_000273	[Echad] Физическая, Удар, Свойство земли, Атака
SKILL_20150317_000274	[Shtayim] Физическая, Удар, Свойство земли, Атака
SKILL_20150317_000275	[Tombsinker] Физическая, Колющая, Свойство тьмы, Атака
SKILL_20150317_000276	[Weaver] Физическая, Удар, Свойство земли, Smoke attack
SKILL_20150317_000277	[Hallowventer] Магическая, Магическая, Свойство тьмы, Атака
SKILL_20150317_000278	[Infro Rocktor] Физическая, Пробивание, Свойство земли, One-handed hit
SKILL_20150317_000279	[Meleech] Физическая, Режущий, Отравляющее свойство, Атака
SKILL_20150317_000280	[Infroburk] Физическая, Пробивание, Свойство огня, Атака
SKILL_20150317_000281	[Zolem] Физическая, Пробивание, Свойство земли, Атака
SKILL_20150317_000282	[Kepa Raider] Физическая, Пробивание, Свойство тьмы, Атака
SKILL_20150317_000283	[Mushcarfung] Физическая, Удар, Свойство тьмы, Body Атака
SKILL_20150317_000284	[Woodman] Физическая, Режущий, Свойство тьмы, Атака
SKILL_20150317_000285	[Wood_Goblin] Физическая, Пробивание, Свойство света, Атака
SKILL_20150317_000286	[Stoneorca] Физическая, Пробивание, Свойство льда, Tail Hook
SKILL_20150317_000287	[Stoneorca] Магическая, Increase Block, Buff , Magic
SKILL_20150317_000288	[Drape] Физическая, Колющая, Poison Property Атака,
SKILL_20150317_000289	[Infro Holder] Физическая, Пробивание, Свойство огня, Атака
SKILL_20150317_000290	[Repusbunny] Физическая, Режущий, Свойство льда, Атака
SKILL_20150317_000291	[Armory] Физическая, Пробивание, Fire Property Атака
SKILL_20150317_000292	[Hound] Физическая, Колющая, Dark Property Атака
SKILL_20150317_000293	[Stoulet] Физическая, Пробивание, Dark Property Атака
SKILL_20150317_000294	[Prisonfighter] Физическая, Режущий, Dark Property Атака
SKILL_20150317_000295	[Caro] Физическая, Режущий, Отравляющее свойство, Атака
SKILL_20150317_000296	[Maggot] Физическая, Пробивание, Свойство тьмы, Body Slam
SKILL_20150317_000297	[Vubbe Chaser] Физическая, Колющая, Свойство тьмы, Pierce Атака
SKILL_20150317_000298	[Red Meduja] Магическая, Магическая, Свойство огня, Атака
SKILL_20150317_000299	[Avatar of Helgasecle] Magic Dark Property Magic
SKILL_20150317_000300	[Filibo] Физическая, Пробивание, Poison Property Атака
SKILL_20150317_000301	[Ellom] Физическая, Пробивание, Свойство света, Smoke Атака
SKILL_20150317_000302	[Ellom] Физическая, Пробивание, Свойство света, Smash Атака
SKILL_20150317_000303	[Hogma Warrior] Physical Slash Fire Property Атака
SKILL_20150317_000304	[Hogma Archer] Range Pierce Lightning Property Атака
SKILL_20150317_000305	[Hogma Shaman] Магическая, Магическая, Fire Property Атака
SKILL_20150317_000306	[Merog Shaman] Магическая, Магическая, Свойство льда, Range Force Атака
SKILL_20150317_000307	[Merog Poison Accupunturist] Range, Колющая, Отравляющее свойство, Shoot poison
SKILL_20150317_000308	[Hogma Shaman] Магическая, Магическая, Fire Property Firewall Атака,
SKILL_20150317_000309	[Merog Shaman] Магическая, Удар, Свойство льда, with Rod
SKILL_20150317_000310	[Hogma Warrior] Physical Strike Fire Property Shield Knockback Атака
SKILL_20150317_000311	[Hogma Warrior] Buff, Magic Fire Property Block increase
SKILL_20150317_000312	[Merog Poison Accupunturist] Range, Колющая, Отравляющее свойство, Jump and Shoot poison needle
SKILL_20150317_000313	[Hogma Battle Commander] Physical Slash Dark Property Атака
SKILL_20150317_000314	[Hogma Battle Commander] Physical Pierce Dark Property Атака
SKILL_20150317_000315	[Hogma Battle Commander] Monster Summon
SKILL_20150317_000316	[Lizardman] Физическая, Пробивание, Свойство света, Атака
SKILL_20150317_000317	[Chupaluka] Физическая, Удар, Dark Property Атака
SKILL_20150317_000318	[Ellomago] Физическая, Колющая, Свойство света, Атака
SKILL_20150317_000319	[Ellogua] Физическая, Колющая, Lightning Property Атака
SKILL_20150317_000320	[Ellogua] Range, Магическая, Lightning Property Shoot
SKILL_20150317_000321	[Wendigo] Physical Slash Fire Property Атака
SKILL_20150317_000322	[Lizardman] Физическая, Пробивание, Свойство света, March in and Headbutt Атака
SKILL_20150317_000323	[Kepari] Магическая, Магическая, Fire Property Атака Fire Debuff
SKILL_20150317_000324	[Kodomor] Физическая, Пробивание, Poison Property Атака
SKILL_20150317_000325	[Kowak] Физическая, Пробивание, Earth Property Атака
SKILL_20150317_000326	[Groll] Физическая, Колющая, Отравляющее свойство, Smoke attack
SKILL_20150317_000327	[Groll] Физическая, Колющая, Отравляющее свойство, Sting with horn Атака
SKILL_20150317_000328	[Chupacabra] Физическая, Пробивание, Свойство тьмы, Атака
SKILL_20150317_000329	[Tama] Физическая, Пробивание, Earth Property Атака
SKILL_20150317_000330	[Medakia] Магическая, Режущий, Dark Property Атака
SKILL_20150317_000331	[Lemur] Физическая, Режущий, Ice Property Атака,
SKILL_20150317_000332	[Hogma Fighter] Physical Slash Lightning Property Атака
SKILL_20150317_000333	[Hogma Guard] Physical Strike Ice Property Атака
SKILL_20150317_000334	Физическая, Пробивание, Earth Property One-handed Атака
SKILL_20150317_000335	Магическая, Магическая, Heal Floor
SKILL_20150317_000336	Физическая, Пробивание, Earth Property Body Атака 3 times
SKILL_20150317_000337	[Old Hook] Физическая, Режущий, Свойство земли, Атака
SKILL_20150317_000338	[Old Hook] Физическая, Режущий, Свойство земли, Smash Атака
SKILL_20150317_000339	[Old Hook] Физическая, Режущий, Свойство земли, Rotation Атака
SKILL_20150317_000340	[Varv] Физическая, Пробивание, Отравляющее свойство, Атака
SKILL_20150317_000341	[Phyracon] Магическая, Магическая, Свойство огня, Fire Shooting Атака 3 times
SKILL_20150317_000342	[Phyracon] Физическая, Пробивание, Свойство огня, Атака
SKILL_20150317_000343	[Phyracon] Магическая, Магическая, Свойство огня, Flame Fume Атака 2 times
SKILL_20150317_000344	[Red Old Hook] Физическая, Режущий, Свойство огня, Rotation Атака
SKILL_20150317_000345	[Red Old Hook] Физическая, Режущий, Свойство огня, Smash Атака
SKILL_20150317_000346	[Arma] Физическая, Колющая, Свойство огня, Атака
SKILL_20150317_000347	[Arma] Физическая, Колющая, Свойство огня, March and Атака 2 times
SKILL_20150317_000348	[Flask] Физическая, Пробивание, Свойство огня, Атака
SKILL_20150317_000349	[Black Shaman Doll] Физическая, Колющая, Свойство тьмы, Атака
SKILL_20150317_000350	[Dimmer] Физическая, Удар, Свойство огня, Атака
SKILL_20150317_000351	[Dimmer] Физическая, Удар, Свойство огня, Атака 2 times
SKILL_20150317_000352	[Wizard Shaman Doll] Физическая, Пробивание, Свойство тьмы, Атака
SKILL_20150317_000353	[Wizard Shaman Doll] Физическая, Пробивание, Свойство тьмы, Rotate and Атака 3 times
SKILL_20150317_000354	[Sequoia Flame] Магическая, Магическая, Свойство огня, Атака
SKILL_20150317_000355	[Raflower] Физическая, Колющая, Отравляющее свойство, Tentacle Атака
SKILL_20150317_000356	[Raflower] Физическая, Колющая, Отравляющее свойство, Tentacle Атака
SKILL_20150317_000357	[Vubbe Wizard] Магическая, Магическая, Свойство огня, Energy Bolt
SKILL_20150317_000358	[Vubbe Wizard] Магическая, Магическая, Свойство огня, Reflect Shield Buff
SKILL_20150317_000359	[Vubbe Fire Wizard] Магическая, Магическая, Свойство огня, Range Fireball Атака
SKILL_20150317_000360	[Vubbe Fire Wizard] Магическая, Магическая, Свойство огня, Fiore Pillar Атака
SKILL_20150317_000361	[Vubbe Ice Wizard] Магическая, Магическая, Свойство льда, Range Ice Bolt Атака
SKILL_20150317_000362	[Vubbe Ice Wizard] Магическая, Магическая, Свойство льда, Refreezer Wave Атака
SKILL_20150317_000363	[Vubbe Shaman] Магическая, Магическая, Свойство тьмы, Heal Floor Skill
SKILL_20150317_000364	[Vubbe Shaman] Магическая, Магическая, Свойство тьмы, Floor Skill
SKILL_20150317_000365	[Shredded] Магическая, Магическая, Свойство тьмы, teleport to pc and Атака
SKILL_20150317_000366	[Leafnut] Физическая, Пробивание, Poison Property Атака
SKILL_20150317_000367	[Panto] Физическая, Пробивание, Свойство земли, Атака 2 times
SKILL_20150317_000368	[Panto] Физическая, Пробивание, Свойство земли, Continuous 6times Атака
SKILL_20150317_000369	[Panto] Магическая, Movement Buff, Магическая,
SKILL_20150317_000370	[Panto Warrior] Физическая, Режущий, Свойство земли, Атака
SKILL_20150317_000371	[Ultanun] Physical Pierce Poison Property Атака
SKILL_20150317_000372	[Ultanun] Magic Poison Property Magic
